"film_id","title","description","release_year","language_id","rental_duration","rental_rate","length","replacement_cost","rating","last_update","special_features","fulltext"
384,"Grosse Wonderful","A Epic Drama of a Cat And a Explorer who must Redeem a Moose in Australia",2006,1,5,"4.99",49,"19.99","R","2013-05-26 14:50:58.951","{""Behind the Scenes""}","'australia':18 'cat':8 'drama':5 'epic':4 'explor':11 'gross':1 'moos':16 'must':13 'redeem':14 'wonder':2"
8,"Airport Pollock","A Epic Tale of a Moose And a Girl who must Confront a Monkey in Ancient India",2006,1,6,"4.99",54,"15.99","R","2013-05-26 14:50:58.951","{Trailers}","'airport':1 'ancient':18 'confront':14 'epic':4 'girl':11 'india':19 'monkey':16 'moos':8 'must':13 'pollock':2 'tale':5"
20,"Amelie Hellfighters","A Boring Drama of a Woman And a Squirrel who must Conquer a Student in A Baloon",2006,1,4,"4.99",79,"23.99","R","2013-05-26 14:50:58.951","{Commentaries,""Deleted Scenes"",""Behind the Scenes""}","'ameli':1 'baloon':19 'bore':4 'conquer':14 'drama':5 'hellfight':2 'must':13 'squirrel':11 'student':16 'woman':8"
265,"Dying Maker","A Intrepid Tale of a Boat And a Monkey who must Kill a Cat in California",2006,1,5,"4.99",168,"28.99","PG","2013-05-26 14:50:58.951","{""Behind the Scenes""}","'boat':8 'california':18 'cat':16 'die':1 'intrepid':4 'kill':14 'maker':2 'monkey':11 'must':13 'tale':5"
74,"Birch Antitrust","A Fanciful Panorama of a Husband And a Pioneer who must Outgun a Dog in A Baloon",2006,1,4,"4.99",162,"18.99","PG","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Deleted Scenes""}","'antitrust':2 'baloon':19 'birch':1 'dog':16 'fanci':4 'husband':8 'must':13 'outgun':14 'panorama':5 'pioneer':11"
77,"Birds Perdition","A Boring Story of a Womanizer And a Pioneer who must Face a Dog in California",2006,1,5,"4.99",61,"15.99","G","2013-05-26 14:50:58.951","{Trailers,""Behind the Scenes""}","'bird':1 'bore':4 'california':18 'dog':16 'face':14 'must':13 'perdit':2 'pioneer':11 'stori':5 'woman':8"
80,"Blanket Beverly","A Emotional Documentary of a Student And a Girl who must Build a Boat in Nigeria",2006,1,7,"2.99",148,"21.99","G","2013-05-26 14:50:58.951","{Trailers}","'bever':2 'blanket':1 'boat':16 'build':14 'documentari':5 'emot':4 'girl':11 'must':13 'nigeria':18 'student':8"
81,"Blindness Gun","A Touching Drama of a Robot And a Dentist who must Meet a Hunter in A Jet Boat",2006,1,6,"4.99",103,"29.99","PG-13","2013-05-26 14:50:58.951","{Trailers,""Behind the Scenes""}","'blind':1 'boat':20 'dentist':11 'drama':5 'gun':2 'hunter':16 'jet':19 'meet':14 'must':13 'robot':8 'touch':4"
93,"Brannigan Sunrise","A Amazing Epistle of a Moose And a Crocodile who must Outrace a Dog in Berlin",2006,1,4,"4.99",121,"27.99","PG","2013-05-26 14:50:58.951","{Trailers}","'amaz':4 'berlin':18 'brannigan':1 'crocodil':11 'dog':16 'epistl':5 'moos':8 'must':13 'outrac':14 'sunris':2"
94,"Braveheart Human","A Insightful Story of a Dog And a Pastry Chef who must Battle a Girl in Berlin",2006,1,7,"2.99",176,"14.99","PG-13","2013-05-26 14:50:58.951","{Trailers,""Deleted Scenes""}","'battl':15 'berlin':19 'braveheart':1 'chef':12 'dog':8 'girl':17 'human':2 'insight':4 'must':14 'pastri':11 'stori':5"
